"","Name","ID","Affiliation","Cites","H_Index","Quartile"
"1","David Altman","xWbhhH8AAAAJ","PUC-VDEM",5123,36,1
"2","Lucia Dammert","Kh9TTGwAAAAJ","USACH",4267,29,1
"3","Peter Siavelis","HGTSACIAAAAJ","COES",3573,29,1
"4","Cristóbal Rovira Kaltwasser","4iRjwbMAAAAJ","UDP",4444,28,1
"5","Patricio D Navia","IBcs-ZwAAAAJ","UDP-NYU",3276,28,1
"6","Juan Pablo Luna","IgwSc8oAAAAJ","PUC",2946,27,1
"7","Gabriel L. Negretto","AP5zUGwAAAAJ","PUC",2557,26,1
"8","Carlos Huneeus","Kq4dWnoAAAAJ","UCHILE",2788,24,1
"9","Alfredo Joignant","C6i7344AAAAJ","UDP-COES",1718,24,1
"10","Fernando Atria","InrV7oEAAAAJ","UCHILE",1908,23,1
"11","Hary Hugo Fruhling","dJKWN8wAAAAJ","UCHILE",1699,23,1
"12","Claudio Fuentes","ckIjzZQAAAAJ","UDP",1383,20,1
"13","Kirsten Sehnbruch","qFLejd0AAAAJ","LSE-COES",1097,17,1
"14","Nicolás M. Somma","yyr6ge0AAAAJ","PUC",822,17,1
"15","Mauricio Morales Quiroga","BPVbhToAAAAJ","UTALCA",977,15,1
"16","Egon Montecinos","NcxMjkAAAAAJ","UACH",727,15,1
"17","Javier Couso","r0EzJ_IAAAAJ","UDP",1020,14,1
"18","Mauricio Olavarría-Gambi","yXeMPpEAAAAJ","USACH",821,14,1
"19","Arturo Arriagada","TzPYdWsAAAAJ","UAI",1044,13,1
"20","Pierre Ostiguy","CdsiN9QAAAAJ","PUC",839,13,1
"21","Patricio Valdivieso","RqH9nVAAAAAJ","ULAGOS",619,13,1
"22","Rossana Castiglioni","gkHNPiwAAAAJ","UDP",510,13,1
"23","William Porath","JxOP4-oAAAAJ","PUC",454,13,1
"24","Sergio Toro Maureira","F7Dguu4AAAAJ","UDEC",558,12,1
"25","Eugenio Guzman","kHIa5vwAAAAJ","UDD",536,12,1
"26","Julieta Suarez-Cao","i2JJrfYAAAAJ","PUC",524,11,1
"27","Rodrigo Mardones","5cAowpkAAAAJ","PUC",465,11,1
"28","Ricardo Gamboa Valenzuela","nOBjxWUAAAAJ","UCHILE",425,11,1
"29","Octavio Avendaño","JRlbehsAAAAJ","UCHILE-UAH",337,11,1
"30","Bastián González-Bustamante","UknWOrEAAAAJ","OXF-USACH",317,11,1
"31","Valeria Palanza","-lzMBqcAAAAJ","PUC",516,10,1
"32","Cesar Ross","26ZJSbAAAAAJ","USACH",446,10,1
"33","Alejandro Corvalan","KiGpYt4AAAAJ","UCHILE",416,10,1
"34","Olga Espinoza M.","_aEt164AAAAJ","UCHILE",400,10,1
"35","Esteban Valenzuela","dQZFoWYAAAAJ","UDEC",383,10,1
"36","Mireya Dávila","OLDMbVAAAAAJ","UCHILE",324,10,1
"37","Isaac Caro","0i6XB6MAAAAJ","UAH",250,10,1
"38","Matias Bargsted","0oYjLYEAAAAJ","PUC",402,9,2
"39","Cristian Garay vera","14QQq0cAAAAJ","USACH",398,9,2
"40","Carolina Segovia","ApRJQVkAAAAJ","UDP",394,9,2
"41","Fernando Rosenblatt","HaX6qs4AAAAJ","UDP",204,9,2
"42","Francisco Urdinez","eubX-aYAAAAJ","PUC",186,9,2
"43","Jorge Gordin","RJp2E7cAAAAJ","unk.",381,8,2
"44","Sofia Donoso","MR9YwQkAAAAJ","UCHILE",287,8,2
"45","Stéphanie Alenda","HcNzaN4AAAAJ","UNAB",263,8,2
"46","Miguel Angel Lopez","rIbm6tMAAAAJ","UCHILE",255,8,2
"47","Mauricio Apablaza","qKDaZAMAAAAJ","UDD",228,8,2
"48","Tomas Dosek","XrCQY-oAAAAJ","PUCP",212,8,2
"49","Juan Pablo Couyoumdjian","dJMnKfcAAAAJ","UDD",206,8,2
"50","Alejandro Olivares Lavados","POHGEtYAAAAJ","UCT",205,8,2
"51","Antoine Maillet","Y4q4OfoAAAAJ","UCHILE",201,8,2
"52","Veronica Figueroa Huencho","7lA1piEAAAAJ","UCHILE",196,8,2
"53","Jorge Fabrega","VM3OxhsAAAAJ","UDD",180,8,2
"54","Marcelo Mella Polanco","qdm2fHgAAAAJ","USACH",159,8,2
"55","Robert L. Funk","9mAm1D8AAAAJ","UCHILE",151,8,2
"56","Germán Bidegain","RBv0BPIAAAAJ","UDELAR",135,8,2
"57","Antonio Bascuñán Rodríguez","CDjgEGIAAAAJ","UAI",184,7,2
"58","Cristian Pliscoff","7HVy8iAAAAAJ","UCHILE",179,7,2
"59","Umut Aydin","NvlbMocAAAAJ","PUC",175,7,2
"60","Stefano Palestini","1JylyXQAAAAJ","PUC",151,7,2
"61","Kenneth Bunker","kFHaW6wAAAAJ","UNIMI",113,7,2
"62","Cristian Pérez Muñoz","MKayIWEAAAAJ","PUC",91,7,2
"63","Lorena Oyarzún Serrano","5kiG1xgAAAAJ","UCHILE",200,6,2
"64","Cristina Moyano Barahona","MwnsXycAAAAJ","USACH",192,6,2
"65","Adrian Albala","KZhWCqgAAAAJ","UnB",182,6,2
"66","Rodrigo Medel Sierralta","nYgItkMAAAAJ","PUC",147,6,2
"67","Giancarlo Visconti","IYungBYAAAAJ","PURDUE",76,6,2
"68","Luis Garrido-Vergara","DlO0jXVS4FIC","USACH",206,5,2
"69","Jeanne W. Simon","_mHLvikAAAAJ","UDEC",150,5,2
"70","Javier Sajuria","elmJq2gAAAAJ","QMUL",111,5,2
"71","Rodrigo Osorio","3zePL_gAAAAJ","UDP",107,5,2
"72","Claudia Heiss","nj4yvK0AAAAJ","UCHILE",101,5,2
"73","Nicole Jenne","065KEBgAAAAJ","PUC",97,5,2
"74","Evelyn Arriagada","zAw8CDAAAAAJ","UDP",96,5,2
"75","Sebastián A. Umpierrez","82aQaYIAAAAJ","UDP-Leiden",81,5,2
"76","José Hernández-Bonivento","tBxjDkcAAAAJ","UA",78,5,2
"77","Vesna Mandakovic","VqjxJ4gAAAAJ","UDD",72,5,2
"78","Sandra Baquedano Jer","R84mfaoAAAAJ","UCHILE",68,5,2
"79","Juan Carlos Arellano","wsdmHJ0AAAAJ","UCT",66,5,2
"80","Loreto Correa","iIDHIHkAAAAJ","ANEPE",48,5,2
"81","Daniel Brieba","s112cUYAAAAJ","UAI",47,5,2
"82","Ines Picazo Verdejo","8rPfIQYAAAAJ","UDEC",90,4,3
"83","Carsten-Andreas Schulz","FfBVmgkAAAAJ","PUC",64,4,3
"84","Catherine Reyes-Housholder","8WfwsloAAAAJ","UDP-COES",64,4,3
"85","Cecilia Osorio Gonnet","Y9qxhQ8AAAAJ","UAH",57,4,3
"86","Ignacio Arana Araya","ws3YSrkAAAAJ","CMU",50,4,3
"87","Diego Rossello","-MWiRrUAAAAJ","UAI",49,4,3
"88","Roberto Mardones","99rI_qsAAAAJ","UCT",48,4,3
"89","Rene Jara","oeRXDWkAAAAJ","USACH",47,4,3
"90","Victor Tricot Salomon","O7DOqCcAAAAJ","unk.",41,4,3
"91","María Gabriela Cordova","YDPznzAAAAAJ","ULAGOS",72,3,3
"92","Jose M. Cabezas","ie78OmcAAAAJ","UMAYOR",65,3,3
"93","Máximo Quitral Rojas","Iz7nUN8AAAAJ","UTEM",55,3,3
"94","Daniel Flores Cáceres","VQKPXBMAAAAJ","ULAGOS",51,3,3
"95","Nicolás Del Valle Orellana","800PtAYAAAAJ","IIPSS",43,3,3
"96","Juan Pablo Araya-Orellana","eDBbeDcAAAAJ","UCHILE",34,3,3
"97","Anthony A. Pezzola","U_YqfqAAAAAJ","WU",31,3,3
"98","Felipe Schwember","YAryivQAAAAJ","UAI",31,3,3
"99","Rodrigo Cuevas","MVRwJT0AAAAJ","UVALPO",31,3,3
"100","Alfonso Donoso","OrPr-3AAAAAJ","PUC",30,3,3
"101","Pablo Valenzuela","cyKIMlUAAAAJ","PUC",29,3,3
"102","Cristóbal Bellolio B.","8L8S57cAAAAJ","UAI",28,3,3
"103","Bernardo Mackenna","UALXeUMAAAAJ","UCSD",25,3,3
"104","Giovanni Agostinis","u9c4q20AAAAJ","PUC",25,3,3
"105","Rodolfo Disi Pavlic","xFcbnmMAAAAJ","UCT",23,3,3
"106","Macarena Valenzuela Beltrán","xP-7heoAAAAJ","UDP",18,3,3
"107","Susana Gazmuri","ZOmEt88AAAAJ","PUC",48,2,4
"108","Camilo Vial","IOab2sQAAAAJ","UA",20,2,4
"109","Waleska Muñoz Aravena","ihALyKUAAAAJ","UDEC",19,2,4
"110","Christopher A Martínez","37hEwq8AAAAJ","UCT",14,2,4
"111","Karen Manzano Iturra","grB28SkAAAAJ","USACH",14,2,4
"112","Ely Orrego Torres","89bS-lkAAAAJ","NWU",13,2,4
"113","Nicole Darat","EQrjT5sAAAAJ","UAI",13,2,4
"114","Lisa Zanotti","f9up4NwAAAAJ","GRIFFITH",11,2,4
"115","Violeta Montero","21Iq__YAAAAJ","UDEC",6,2,4
"116","Ross Mittiga","o4ZnQNsAAAAJ","PUC",5,2,4
"117","Antonio Canale-Mayet","dFcoyfMAAAAJ","IL",5,2,4
"118","Ximena Soto Soutullo","r2q0t8cAAAAJ&hl","KCL",45,1,4
"119","Federico Rojas-de-Galarreta","hTyE9WAAAAAJ","PUC",39,1,4
"120","Carolina Acevedo","KNKPs0EAAAAJ","PUC",16,1,4
"121","Germán Campos-Herrera","zWIsBT8AAAAJ","UDP",6,1,4
"122","Katherine Figueroa Aillañir","1vOi_OsAAAAJ","UDEC",5,1,4
"123","Mariol Virgili Lillo","pr35r24AAAAJ","UDEC",5,1,4
"124","Hugo Jofré","9JmWI5MAAAAJ","UCHILE",3,1,4
"125","Jose de la Cruz Garrido","Q8J28ZcAAAAJ","UDD",3,1,4
"126","Laura Levick","otugCsoAAAAJ","USACH",3,1,4
"127","Cristóbal Sandoval Rojo","aw7lNr4AAAAJ","UDP",2,1,4
"128","Shirley Gotz","MsPC8uwAAAAJ","UAH",2,1,4
"129","Daniel Santibañez Guerrero","B7eJM_0AAAAJ","USACH",1,1,4
"130","Gonzalo Espinoza Bianchini","0cEbNnwAAAAJ","UDP",1,1,4
"131","Luis Clavería Cambón","8jETtdIAAAAJ","USACH",1,1,4
"132","Matthias Erlandsen","HA5_6QUAAAAJ","PUC",1,1,4
"133","Andrés Stark Azócar","mQwDWagAAAAJ","UAI",0,0,4
"134","Claudio Fuentes-González","vLROxScAAAAJ","UA",0,0,4
"135","Fernando Schmidt","wXHJZ4oAAAAJ","UDD",0,0,4
"136","Francisca Lisbona Saavedra","8BB7GS4AAAAJ","UDP",0,0,4
"137","Jaime Contreras Alvarez","QeDE2BwAAAAJ","UDEC",0,0,4
"138","Marcelo Marzouka","kj503iEAAAAJ","PUC",0,0,4
"139","Sebastián Carrasco","CrQouUsAAAAJ","UMAYOR",0,0,4
